Time,Count,Cpu Load,Temp,Cpu Freq,Cpu Mem,Cpu Disk,IR Lamp,Hrs to Sunrise,Hrs to Sunset,
05/06/2020 16:31:02,not set,11.4%,58.91C,1.0GHz,27.8%,39.8%,Off,12.27,5.01,
05/06/2020 16:31:13,not set,10.6%,57.94C,1.5GHz,27.7%,39.8%,Off,12.27,5.01,
05/06/2020 16:31:24,not set,12.2%,57.94C,1.0GHz,27.7%,39.8%,Off,12.26,5.0,
05/06/2020 16:31:35,not set,18.3%,58.91C,1.5GHz,27.9%,39.8%,Off,12.26,5.0,
05/06/2020 16:31:46,not set,17.8%,58.43C,1.0GHz,28.1%,39.8%,Off,12.26,5.0,
05/06/2020 16:31:57,not set,17.0%,58.43C,1.5GHz,28.4%,39.8%,Off,12.25,4.99,
05/06/2020 16:32:08,not set,12.6%,58.91C,0.75GHz,28.4%,39.8%,Off,12.25,4.99,
05/06/2020 16:32:19,not set,19.3%,59.4C,1.5GHz,28.6%,39.8%,Off,12.25,4.99,
05/06/2020 16:32:30,not set,17.9%,58.43C,1.0GHz,28.2%,39.8%,Off,12.24,4.98,
05/06/2020 16:32:41,not set,20.7%,58.91C,0.75GHz,28.4%,39.8%,Off,12.24,4.98,
05/06/2020 16:32:52,not set,17.0%,59.89C,1.0GHz,28.4%,39.8%,Off,12.24,4.98,
